port_label,quarter_label,index_label,MissingValue
"Algeria, Algiers",Q2 2019,128.69,
"Algeria, Algiers",Q3 2019,131.23,
"Algeria, Algiers",Q4 2019,144.52,
"Algeria, Algiers",Q1 2020,133.47,
"Algeria, Algiers",Q2 2020,132.4,
"Algeria, Algiers",Q3 2020,132.77,
"Algeria, Algiers",Q4 2020,137.4,
"Algeria, Algiers",Q1 2021,133.26,
"Algeria, Algiers",Q2 2021,121.97,
"Algeria, Algiers",Q3 2021,125.29,
"Algeria, Algiers",Q4 2021,122.55,
"Algeria, Algiers",Q1 2022,121.81,
"Algeria, Algiers",Q2 2022,111.78,
"Algeria, Algiers",Q3 2022,125.12,
"Algeria, Algiers",Q4 2022,125.98,
"Algeria, Algiers",Q1 2023,125.34,
"Algeria, Algiers",Q2 2023,127.25,
"Algeria, Algiers",Q3 2023,125.33,
"Algeria, Algiers",Q4 2023,131.8,
"Algeria, Algiers",Q1 2024,132.13,
"Algeria, Algiers",Q2 2024,128.51,
"Algeria, Algiers",Q3 2024,129.31,
"Algeria, Algiers",Q4 2024,120.94,
"Algeria, Algiers",Q1 2025,114.78,
"Algeria, Annaba",Q1 2006,44.48,
"Algeria, Annaba",Q2 2006,52.74,
"Algeria, Annaba",Q3 2006,52.74,
"Algeria, Annaba",Q4 2006,41.28,
"Algeria, Annaba",Q1 2007,40.62,
"Algeria, Annaba",Q2 2007,44.72,
"Algeria, Annaba",Q3 2007,48.34,
"Algeria, Annaba",Q4 2007,48.21,
"Algeria, Annaba",Q1 2008,40.5,
"Algeria, Annaba",Q2 2008,28.74,
"Algeria, Annaba",Q3 2008,19.23,
"Algeria, Annaba",Q4 2008,25.62,
"Algeria, Annaba",Q1 2009,32.36,
"Algeria, Annaba",Q2 2009,27.07,
"Algeria, Annaba",Q3 2009,29.89,
"Algeria, Annaba",Q4 2009,30.52,
"Algeria, Annaba",Q1 2010,36.86,
"Algeria, Annaba",Q2 2010,29.93,
"Algeria, Annaba",Q3 2010,35.84,
"Algeria, Annaba",Q4 2010,54.08,
"Algeria, Annaba",Q1 2011,47.03,
"Algeria, Annaba",Q2 2011,38.16,
"Algeria, Annaba",Q3 2011,33.77,
"Algeria, Annaba",Q4 2011,26.97,
"Algeria, Annaba",Q1 2012,26.97,
"Algeria, Annaba",Q2 2012,35.64,
"Algeria, Annaba",Q3 2012,35.64,
"Algeria, Annaba",Q4 2012,35.66,
"Algeria, Annaba",Q1 2013,37.27,
"Algeria, Annaba",Q2 2013,30.12,
"Algeria, Annaba",Q3 2013,33.87,
"Algeria, Annaba",Q4 2013,32.88,
"Algeria, Annaba",Q1 2014,30.89,
"Algeria, Annaba",Q2 2014,32.92,
"Algeria, Annaba",Q3 2014,32.88,
"Algeria, Annaba",Q4 2014,30.65,
"Algeria, Annaba",Q1 2015,30.87,
"Algeria, Annaba",Q2 2015,35.01,
"Algeria, Annaba",Q3 2015,39.93,
"Algeria, Annaba",Q4 2015,39.93,
"Algeria, Annaba",Q1 2016,32.71,
"Algeria, Annaba",Q2 2016,32.87,
"Algeria, Annaba",Q3 2016,32.87,
"Algeria, Annaba",Q4 2016,39.15,
"Algeria, Annaba",Q1 2017,38.39,
"Algeria, Annaba",Q2 2017,38.48,
"Algeria, Annaba",Q3 2017,38.36,
"Algeria, Annaba",Q4 2017,50.51,
"Algeria, Annaba",Q1 2018,50.47,
"Algeria, Annaba",Q2 2018,52.67,
"Algeria, Annaba",Q3 2018,54.29,
"Algeria, Annaba",Q4 2018,53.09,
"Algeria, Annaba",Q1 2019,45.04,
"Algeria, Annaba",Q2 2019,51.77,
"Algeria, Annaba",Q3 2019,54.59,
"Algeria, Annaba",Q4 2019,56.74,
"Algeria, Annaba",Q1 2020,48.24,
"Algeria, Annaba",Q2 2020,56.57,
"Algeria, Annaba",Q3 2020,56.87,
"Algeria, Annaba",Q4 2020,57.1,
"Algeria, Annaba",Q1 2021,57.1,
"Algeria, Annaba",Q2 2021,57.07,
"Algeria, Annaba",Q3 2021,55.92,
"Algeria, Annaba",Q4 2021,55.47,
"Algeria, Annaba",Q1 2022,50.95,
"Algeria, Annaba",Q2 2022,48.19,
